: 1508199806:0;python -v
: 1530225902:0;node timer 1min
: 1530225949:0;node timer 5s
: 1530226264:0;npm test
: 1530226297:0;learn
: 1530226311:0;learn submit
: 1530226350:0;cd ..
: 1530226816:0;git clone git@github.com:deanban/introduction-to-es6-immersive-alum.git
: 1530226836:0;node _
: 1530226844:0;cd _
: 1530226848:0;cd _..
: 1530226854:0;cd introduction-to-es6-immersive-alum
: 1530226858:0;nom test
: 1530226862:0;npm test
: 1530226868:0;npm install
: 1530226879:0;npm test
: 1530226894:0;cd ..
: 1530226900:0;git clone git@github.com:deanban/introduction-to-es6-immersive-alum.git
: 1530226935:0;cd
: 1530226940:0;cd Development/node
: 1530226944:0;git clone git@github.com:deanban/introduction-to-es6-immersive-alum.git
: 1530226950:0;cd introduction-to-es6-immersive-alum
: 1530226956:0;npm install
: 1530226963:0;npm test
: 1530227047:0;learn
: 1530227072:0;learn submit
: 1530227376:0;cd ..
: 1530227378:0;node 
: 1530227716:0;node
: 1530227903:0;git clone git@github.com:deanban/node-js-imports-and-exports-immersive-alum.git
: 1530227912:0;cd node-js-imports-and-exports-immersive-alum
: 1530227919:0;npm install
: 1530238495:0;ssh banik@192.168.1.211
: 1530311655:0;diskutil list
: 1530311731:0;diskutil unmountDisk /dev/disk2
: 1530311793:0;sudo dd if=/Users/dean/Downloads/Win10_1803_English_x64.iso of=/dev/desk2 bs=1m
: 1530311846:0;sudo dd if=/Users/dean/Downloads/Win10_1803_English_x64.iso of=/dev/disk2 bs=1m
: 1530314390:0;diskutil list
: 1530316639:0;cd Downloads/react-pair-master
: 1530316641:0;ls
: 1530316646:0;yarn start
: 1530316656:0;yarn install
: 1530316696:0;yarn start
: 1530319976:0;cd Desktop/mern
: 1530319980:0;code .
: 1530320247:0;npm run server
: 1530321581:0;yarn add gravatar
: 1530321600:0;npm run server
: 1530326891:0;git add .
: 1530326954:0;git commit -m "user model, routes, token done"
: 1530326958:0;git push
: 1530327438:0;npm run server
: 1530327486:0;git add .
: 1530327500:0;git commit -m "mongoauth"
: 1530327504:0;git push
: 1530327534:0;git add .
: 1530327537:0;git commit -m "mongoauth"
: 1530327539:0;git push
: 1530327666:0;git add .
: 1530327668:0;git commit -m "mongoauth"
: 1530327670:0;git push
: 1530327781:0;git rm -r --cached .
: 1530327789:0;git add .
: 1530327813:0;git commit -m "trying to fix gitignore1"
: 1530327818:0;git push
: 1530327859:0;git rm -r --cached .
: 1530327865:0;git add .
: 1530327869:0;git commit -m "trying to fix gitignore2"
: 1530327872:0;git push
: 1530341441:0;react -v
: 1530341451:0;npm react -v
: 1530341605:0;cd Desktop
: 1530341607:0;ls
: 1530341613:0;cd nearby
: 1530341618:0;code .
: 1530341696:0;yarn start
: 1530373823:0;cd Desktop/mern
: 1530373853:0;code .
: 1530374785:0;npm rum server
: 1530374860:0;npm run server
: 1530379693:0;git rm -r --cached config/namepass
: 1530379700:0;git rm -r --cached config/namepass.js
: 1530379705:0;git add .
: 1530379748:0;git commit -m "validation, authenticate profile done"
: 1530379757:0;git push
: 1530379848:0;git rm -r --cached config/namepass.js
: 1530379874:0;git add .
: 1530379928:0;git commit -m "trying to fix gitignore. AGAIN"\
\

: 1530379931:0;git push
: 1531245869:0;cd Development/node
: 1531245870:0;ls
: 1531245880:0;code .
: 1531245924:0;cd node-js-imports-and-exports-immersive-alum
: 1531245933:0;learn submit
: 1531246215:0;cd ..
: 1531246224:0;git clone git@github.com:deanban/node-js-export-strategies-immersive-alum.git
: 1531246362:0;cd node-js-export-strategies-immersive-alum
: 1531247074:0;npm install 
: 1531247098:0;learn
: 1531247103:0;learn submit
: 1531247345:0;cd ..
: 1531247351:0;git clone git@github.com:deanban/node-js-npm-lab-immersive-alum.git
: 1531247373:0;cd node-js-npm-lab-immersive-alum
: 1531247479:0;npm test
: 1531247485:0;npm install
: 1531247532:0;npm test
: 1531247620:0;yarn add mocha
: 1531247883:0;yarn remove mocha
: 1531247901:0;npm install mocha --save-dev
: 1531247973:0;npm install
: 1531247982:0;npm test
: 1531249673:0;yarn add lodash
: 1531249715:0;npm test
: 1531249770:0;yarn add mocha-multi
: 1531249781:0;yarn remove mocha-multi
: 1531249806:0;npm install mocha-multi --save-dev
: 1531249811:0;npm test
: 1531249839:0;npm install chai --save-dev
: 1531249844:0;npm test
: 1531249930:0;yarn remove lodash
: 1531249958:0;npm install lodash
: 1531249965:0;npm test
: 1531249969:0;learn
: 1531249976:0;learn submit
: 1531250033:0;cd ..
: 1531250044:0;git clone git@github.com:deanban/node-js-fix-the-dependencies-immersive-alum.git
: 1531250094:0;npm test
: 1531250106:0;npm install mocha --save-dev
: 1531250112:0;npm test
: 1531250124:0;npm install mocha-multi --save-dev
: 1531250128:0;npm test
: 1531250145:0;npm install chai --save-dev
: 1531250149:0;npm test
: 1531250215:0;yarn remove chai-spies
: 1531250231:0;npm install chai-spies --save-dev
: 1531250239:0;npm test
: 1531250278:0;npm install five
: 1531250483:0;npm test
: 1531250755:0;git+https://github.com/learn-co-curriculum/node-js-pluggable-flatiron.git
: 1531250781:0;npm git+https://github.com/learn-co-curriculum/node-js-pluggable-flatiron.git
: 1531251008:0;npm install --save learn-co-curriculum/node-js-pluggable-flatiron
: 1531251018:0;npm test
: 1531251061:0;npm install learn-co-curriculum/node-js-hello-flatiron
: 1531251069:0;npm test
: 1531251131:0;yarn remove pluggable-flatiron
: 1531251161:0;npm install --save learn-co-curriculum/node-js-pluggable-flatiron#14f3c7a
: 1531251252:0;npm install learn-co-curriculum/node-js-pluggable-flatiron#14f3c7a
: 1531251261:0;npm install
: 1531251406:0;npm test
: 1531251527:0;npm install
: 1531251534:0;npm test
: 1531251669:0;yarn remove five
: 1531251675:0;yarn install
: 1531251686:0;npm test
: 1531251700:0;yarn remove five
: 1531251728:0;npm install five --save-dev
: 1531251760:0;yarn install
: 1531251800:0;npm install --save learn-co-curriculum/pluggable-flatiron
: 1531251824:0;yarn install
: 1531251845:0;learn
: 1531251884:0;yarn install
: 1531251889:0;learn
: 1531251935:0;yarn install
: 1531251938:0;learn
: 1531251953:0;yarn install
: 1531251956:0;learn
: 1531251969:0;learn submit
: 1531252394:0;cd ..
: 1531252400:0;git clone git@github.com:deanban/node-js-basic-web-server-immersive-alum.git
: 1531252440:0;npm install mocha --save-dev
: 1531252448:0;npm install mocha-multi --save-dev\

: 1531252456:0;npm install chai --save-dev\

: 1531252467:0;npm test
: 1531252518:0;npm install supertest --save-dev\

: 1531252525:0;npm test
: 1531252544:0;npm install
: 1531252558:0;npm test
: 1531252764:0;node run server
: 1531252918:0;node run-server
: 1531253221:0;cd node-js-basic-web-server-immersive-alum
: 1531253226:0;npm test
: 1531361661:0;cd Development/node
: 1531361665:0;code .
: 1531361695:0;git clone git@github.com:deanban/node-js-intro-to-bookshelf-immersive-alum.git
: 1531361779:0;npm install
: 1531361851:0;npm install express body-parser knex bookshelf
: 1531361909:0;npm install chai mocha mocha-multi supertest unexpected --save-dev
: 1531361933:0;npm test
: 1531361950:0;npm install pg
: 1531361959:0;npm test
: 1531362120:0;knex migrate:make User
: 1531362149:0;node run blog_server.js
: 1531362160:0;node blog_server.js
: 1531362236:0;npm install
: 1531362314:0;npm install knex@0.12.0 --save-exact
: 1531362324:0;npm install
: 1531362334:0;npm test
: 1531362511:0;knex migrate:make User
: 1531362702:0;npm test
: 1531362848:0;npm start
: 1531362869:0;yarn start
: 1531363695:0;learn
: 1531363734:0;git add .
: 1531363746:0;git commit -m "halfway"
: 1531363749:0;git push
: 1531365661:0;git add .
: 1531365676:0;git commit -m "migration done"
: 1531365680:0;git push
: 1531366303:0;git add .
: 1531366321:0;git commit -m "route skeleton done"
: 1531366324:0;git push
: 1531503967:0;cd Development/node
: 1531503971:0;code .
: 1531503999:0;cd node-js-intro-to-bookshelf-immersive-alum
: 1531505433:0;knex migrate:latest
: 1531505875:0;cd node_modules/.bin/knex
: 1531505915:0;cd node_modules/knex
: 1531505926:0;knex migrate:latest
: 1531505941:0;cd node_modules/.bin/knex
: 1531505945:0;cd ..
: 1531505976:0;node_modules/.bin/knex
: 1531505998:0;node_modules/.bin/knex migrate:latest
: 1531506029:0;npm run
: 1531506050:0;npm start blog_server
: 1531506056:0;npm blog_server
: 1531507774:0;git add .
: 1531507806:0;git commit -m "done with objection. will refactor to bookshelf"
: 1531507818:0;git push
: 1531508176:0;cd ..
: 1531508181:0;git clone git@github.com:deanban/node-js-intro-to-passport-immersive-alum.git
: 1531508295:0;npm install chai mocha nocha-multi supertest unexpected --save-dev
: 1531508307:0;npm install chai mocha mocha-multi supertest unexpected --save-dev
: 1531508409:0;npm install bcrypt body-parser bookshelf connect-flash cookie-parser express express-handlebars express-session passport pg
: 1531508462:0;npm install knex@0.12 --save-exact
: 1531508474:0;npm install
: 1531508489:0;npm install knex@0.12.0 --save-exact
: 1531508495:0;npm install
: 1531508517:0;npm install knex@0.10 --save-exact
: 1531508526:0;npm install
: 1531509106:0;node_modules/.bin/knex migrate:make add_password_field
: 1531509274:0;node_modules/.bin/knex migrate:latest
: 1531509504:0;node_modules/.bin/knex 
: 1531509543:0;node_modules/.bin/knex 'l
: 1531509548:0;node_modules/.bin/knex \l
: 1531509600:0;which psql
: 1531509615:0;psql
: 1531509946:0;node_modules/.bin/knex migrate:latest
: 1531510023:0;node
: 1531510085:0;node_modules/.bin/knex INIT
: 1531510089:0;node_modules/.bin/knex init
: 1531510110:0;psql
: 1531510321:0;node_modules/.bin/knex migrate:latest
: 1531510426:0;psql
: 1531510497:0;"/Applications/Postgres.app/Contents/Versions/10/bin/psql" -p5432 -d "back_development"
: 1531510586:0;npm test
: 1531511850:0;npm install passport-local
: 1531511862:0;npm install
: 1531512854:0;npm run-server
: 1531512867:0;npm run
: 1531512905:0;learn
: 1531512959:0;npm test
: 1531512971:0;learn submit
: 1531757343:0;cd Development/node
: 1531757418:0;code .
: 1531757543:0;git clone git@github.com:deanban/node-js-fakebook-immersive-alum.git
: 1531757616:0;cd node-js-fakebook-immersive-alum
: 1531757998:0;npm install chai mocha mocha-multi supertest unexpected -save--dev
: 1531758119:0;npm install bcrypt body-parser bookshelf connect-flash cookie-parser express express-handlebars express-session passport passport-local pg
: 1531758165:0;npm intall knex@0.10 
: 1531758172:0;npm install knex@0.10 
: 1531758185:0;npm install
: 1531758278:0;node_modules/.bin/knex knex migrate:add_follower_table
: 1531758308:0;node_modules/.bin/knex knex migrate:make add_follower_table
: 1531758345:0;node_modules/.bin/knex migrate:make add_follower_table
: 1531758674:0;node_modules/.bin/knex migrate:latest
: 1531759870:0;cd Development/node/
: 1531759872:0;code .
: 1531760504:0;node_modules/.bin/knex migrate:latest
: 1531760535:0;"/Applications/Postgres.app/Contents/Versions/10/bin/psql" -p5432 -d "learnco_blog_test"
: 1531760619:0;postgres
: 1531760708:0;psql
: 1531760904:0;"/Applications/Postgres.app/Contents/Versions/10/bin/psql" -p5432 -d "learnco_blog_test"
: 1531760975:0;"/Applications/Postgres.app/Contents/Versions/10/bin/psql" -p5432 -d "learnco_blog"
: 1531761147:0;node_modules/.bin/knex migrate:latest
: 1531761456:0;learn
: 1531762502:0;learn submit
: 1531762595:0;git push
: 1531763684:0;cd ..
: 1531763693:0;git clone git@github.com:deanban/node-js-testing-immersive-alum.git
: 1531763855:0;npm install body-parser chai express jsdom lodashmocha mocha-jsdom mocha-multi supertest --save-dev
: 1531763886:0;npm install body-parser chai express jsdom lodash mocha mocha-jsdom mocha-multi supertest --save-dev
: 1531763934:0;npm install bookshelf knex@0.11 sqlite3
: 1531764176:0;npm install -g knex
: 1531764212:0;npm install -g knex@0.10 --save-exact
: 1531764238:0;knex
: 1531764259:0;node_modules/.bin/mocha
: 1531765109:0;npm test
: 1531769423:0;nettop
: 1531848451:0;cd Development
: 1531848452:0;ls
: 1531848478:0;mkdir reac-red
: 1531848481:0;cd reac-red
: 1531848488:0;git clone git@github.com:deanban/redux-forms-codealong-web-071717.git
: 1531848505:0;code .
: 1531848602:0;npm install && npm start
: 1531849943:0;learn submit
: 1531850119:0;cd ..
: 1531850128:0;git clone git@github.com:deanban/redux-index-codealong-web-071717.git
: 1531850138:0;cd redux-index-codealong-web-071717
: 1531850142:0;npm install
: 1531850192:0;npm start
: 1531850754:0;learn submit
: 1531850807:0;cd ..
: 1531850816:0;git clone git@github.com:deanban/building-forms-lab-web-071717.git
: 1531850824:0;cd building-forms-lab-web-071717
: 1531850892:0;npm install
: 1531850927:0;npm start
: 1531851730:0;learn
: 1531851831:0;learn submit
: 1531852385:0;cd ..
: 1531852449:0;git clonegit@github.com:deanban/redux-delete-codealong-
: 1531852490:0;git clone git@github.com:deanban/redux-delete-codealong-web-071717.git && cd redux-delete-codealong-web-071717
: 1531852535:0;npm install && npm start
: 1531853611:0;learn submit
: 1531853667:0;cd ..
: 1531853702:0;git clone git@github.com:deanban/redux-delete-lab-web-071717.git && cd redux-delete-lab-web-071717
: 1531853725:0;npm install && npm start
: 1531856434:0;learn
: 1531856514:0;npm start
: 1531856583:0;learn
: 1531856639:0;npm start
: 1531857117:0;learn
: 1531857124:0;learn submit
: 1531963413:0;cd Desktop/starfield
: 1531963419:0;touch index.html
: 1531963427:0;touch index.js
: 1531963433:0;code .
: 1531967327:0;git init
: 1531967352:0;git add README.md
: 1531967365:0;git add .
: 1531967415:0;git commit -m "experiment working. Need to work on color gradient in animation."
: 1531967422:0;git remote add origin git@github.com:deanban/canvas-space-experiment.git
: 1531967427:0;git push
: 1531967525:0;git add readme.md
: 1531967530:0;git add .
: 1531967549:0;git commit -m "experiment working. Need to work on color gradient in animation."
: 1531967551:0;git push
: 1531967605:0;git history
: 1531967649:0;git status
: 1531967672:0;git log
: 1531967749:0;git reset --hard HEAD~1
: 1531967756:0;git log
: 1531967811:0;git push
: 1531967819:0;git pull
: 1531967824:0;git pull master
: 1531967829:0;git pull origin master
: 1531967840:0;git add .
: 1531967853:0;git push
: 1531970240:0;git pull
: 1531970248:0;git pull origin master
: 1531971052:0;git add .
: 1531971061:0;git commit -m "demo"
: 1531971064:0;git push
: 1531972128:0;git remove
: 1531972133:0;git help
: 1531972221:0;cd Desktop/untitled\ folder
: 1531972247:0;cd Desktop/starfield
: 1531972252:0;code .
: 1531972267:0;echo "# canvas-experiment" >> README.md\
git init\
git add README.md\
git commit -m "first commit"\
git remote add origin git@github.com:deanban/canvas-experiment.git\
git push -u origin master
: 1531972282:0;git add .
: 1531972321:0;git commit -m "working. need color gradient in animation."
: 1531972327:0;git push
: 1531972448:0;cd
: 1531972466:0;cd /Users/dean/Desktop/starfield 
: 1531972469:0;code .
: 1531974379:0;git init
: 1531974389:0;git remote add origin git@github.com:deanban/canvas-experiment.git
: 1531974397:0;git add .
: 1531974422:0;git commit -m "working. need color transition in animation."
: 1531974425:0;git push
: 1531974592:0;git add .
: 1531974620:0;git commit -m " working. need color transition in animation"
: 1531974623:0;git push
: 1532103939:0;cd Development/node
: 1532103942:0;code .
: 1532103987:0;git clone git@github.com:learn-co-students/crud-lab-web-071717.git && cd learn-co-students/crud-lab-web-071717
: 1532104007:0;cd crud-lab-web-071717
: 1532104057:0;npm install
: 1532104103:0;npm start
: 1532104289:0;cd ..
: 1532104293:0;cd
: 1532104316:0;cd Development/node
: 1532104321:0;git clone git@github.com:deanban/crud-lab-web-071717.git
: 1532104342:0;npm install
: 1532104460:0;npm start
: 1532107522:0;npm test
: 1532107572:0;npm start
: 1532107597:0;git add .
: 1532107634:0;git commit -m "can add and delete a restaurant"
: 1532107641:0;git push
: 1532107768:0;npm start
: 1532111432:0;npm test
: 1532111622:0;npm start
: 1532111665:0;cd crud-lab-web-071717
: 1532111669:0;npm test
: 1532112426:0;learn 
: 1532112441:0;learn submit
: 1532113000:0;cd ..
: 1532113007:0;git clone git@github.com:deanban/redux-thunk-lab-web-071717.git
: 1532113081:0;npm install
: 1532113122:0;npm start
: 1532198314:0;cd Development/node
: 1532198357:0;npm start
: 1532198675:0;cd ..
: 1532198678:0;cd
: 1532198683:0;cd Development/node
: 1532198701:0;git clone git@github.com:deanban/redux-thunk-lab-web-071717.git
: 1532198708:0;cd redux-thunk-lab-web-071717
: 1532198797:0;git clone git@github.com:deanban/cat-api.git
: 1532198807:0;cd cat-api
: 1532198812:0;npm install
: 1532198879:0;npm start
: 1532198959:0;npm install
: 1532199032:0;npm start
: 1532202192:0;learn
: 1532202509:0;npm start
: 1532202637:0;learn
: 1532202696:0;npm start
: 1532203427:0;learn
: 1532203478:0;git add .
: 1532203606:0;git commit -m "done. working perfectly. need to refactor a few things to have a few tests to  pass. Don't feel like it"
: 1532203609:0;git submit
: 1532203630:0;learn submit
: 1532204202:0;npm start
: 1532204349:0;cd ..
: 1532204355:0;git clone git@github.com:deanban/intro-to-redux-library-codealong-web-071717.git
: 1532204386:0;cd git@github.com:deanban/intro-to-redux-library-codealong-web-071717.git
: 1532204394:0;cd intro-to-redux-library-codealong-web-071717
: 1532204419:0;npm install
: 1532205877:0;npm start
: 1532205914:0;npm install react-redux
: 1532205940:0;npm start
: 1532206026:0;learn 
: 1532206031:0;learn submit
: 1532206090:0;cd ..
: 1532206099:0;git clone git@github.com:deanban/create-store-lab-web-071717.git
: 1532206104:0;cd create-store-lab-web-071717
: 1532206143:0;yarn install
: 1532206188:0;yarn start
: 1532207399:0;learn
: 1532207441:0;npm install
: 1532207473:0;learn
: 1532207678:0;learn submit
: 1532207769:0;yarn start
: 1532207956:0;git clone git@github.com:deanban/map-state-to-props-readme-web-071717.git
: 1532207987:0;cd ..
: 1532207992:0;git clone git@github.com:deanban/map-state-to-props-readme-web-071717.git
: 1532208000:0;cd map-state-to-props-readme-web-071717
: 1532208022:0;npm install
: 1532208271:0;learn
: 1532208278:0;learn submit
: 1532208345:0;cd ..
: 1532208348:0;git clone git@github.com:deanban/review-map-state-to-props-readme-web-071717.git
: 1532208353:0;cd review-map-state-to-props-readme-web-071717
: 1532208512:0;learn
: 1532208518:0;learn submit
: 1532320009:0;cd Desktop
: 1532320015:0;git clone git@github.com:deanban/neo4j-movies-template.git
: 1532320032:0;cd neo4j-movies-template
: 1532320036:0;code .
: 1532483166:0;cd Desktop/testnode
: 1532483170:0;yarn init
: 1532483242:0;ls
: 1532483280:0;yarn init
: 1532483304:0;code .
: 1532483440:0;yarn install express
: 1532483448:0;yarn add express
: 1532483561:0;yarn add nodemon
: 1532483574:0;nodemon server
: 1532483622:0;nodemon server.js
: 1532483634:0;nodemon -h
: 1532483776:0;nodemon server.js
: 1532483781:0;node server
: 1532483981:0;yarn start
: 1532484037:0;yarn start nodemon
: 1532484075:0;node server nodemon
: 1532484740:0;yarn start
: 1532485312:0;yarn add mongoose
: 1532488009:0;yarn start
: 1532539284:0;ls
: 1532539399:0;cd db
: 1532539401:0;ls
: 1532539406:0;node seed.js
: 1532539531:0;cd Development/node
: 1532539535:0;code .
: 1532539687:0;cd..
: 1532539693:0;cd ..
: 1532539727:0;node db/seed.js
: 1532539745:0;yarn add node-fetch
: 1532539766:0;node db/seed.js
: 1532541084:0;clear
: 1532541087:0;node db/seed.js
: 1532541162:0;yarn start
: 1532541189:0;node db/seed.js
: 1532541232:0;clear
: 1532541233:0;node db/seed.js
: 1532541316:0;clear
: 1532541318:0;node db/seed.js
: 1532541436:0;clear
: 1532541440:0;node db/seed.js
: 1532541460:0;clear
: 1532541463:0;node db/seed.js
: 1532541848:0;clear
: 1532541851:0;node db/seed.js
: 1532542939:0;cd
: 1532542945:0;cd Desktop
: 1532542949:0;cd mern
: 1532542957:0;code .
: 1532545828:0;cd Desktop/testnode/public
: 1532545856:0;create-react-app recalls
: 1532545881:0;cd recalls
: 1532545893:0;cd ..
: 1532545898:0;ls
: 1532545981:0;cd public/recalls
: 1532545985:0;code .
: 1532546162:0;yarn add redux react-redux redux-thunk redux-devtools-extension
: 1532546296:0;yarn start
: 1532546618:0;cd Desktop/fda
: 1532546628:0;cd food
: 1532546631:0;cd ..
: 1532546634:0;ls
: 1532546637:0;cd recalls
: 1532546641:0;code .
: 1532548490:0;cd Desktop/test
: 1532548493:0;cd Desktop/testnode
: 1532548496:0;code .
: 1532549372:0;node server
: 1532549462:0;ls
: 1532549465:0;cd public
: 1532549467:0;ls
: 1532549470:0;cd recalls
: 1532549473:0;yarn start
: 1532554378:0;cd Desktop/fdafront
: 1532554384:0;yarn start
: 1532554498:0;cd Desktop/fdafront
: 1532554500:0;yarn start
: 1532554589:0;cd Desktop/fdaback
: 1532554596:0;node server
: 1532554638:0;git init 
: 1532554652:0;git add README.md\

: 1532554663:0;git remote add origin git@github.com:deanban/fdaback.git\

: 1532554675:0;git push -u origin master
: 1532554687:0;code .
: 1532554809:0;cd ..
: 1532554817:0;cd fda/recalls
: 1532554820:0;code .
: 1532554908:0;cd ..
: 1532554915:0;cd fdaback
: 1532554921:0;rm -rf .git
: 1532554946:0;code .
: 1532555004:0;echo "# fdaback" >> README.md
: 1532555011:0;git init
: 1532555016:0;git add README.md
: 1532555027:0;git add .
: 1532555070:0;rm -rf .git
: 1532555079:0;echo "# fdaback" >> README.md
: 1532555087:0;git init
: 1532555095:0;git add README.md
: 1532555105:0;touch .gitignore
: 1532555702:0;node db/seed.js
: 1532559686:0;git add .
: 1532559706:0;git commit -m "rest api working"
: 1532559725:0;git remote add origin git@github.com:deanban/fdaback.git
: 1532559728:0;git push
: 1532560589:0;cd ..
: 1532560594:0;cd fdafront
: 1532560731:0;cd..
: 1532560737:0;cd ..
: 1532560744:0;cd fdaback/app
: 1532560759:0;yarn start
: 1532560999:0;cd ..
: 1532561001:0;cd
: 1532561003:0;cd desk
: 1532561011:0;cd Desktop/fdamern
: 1532561022:0;rm -rf .git
: 1532561078:0;code .
: 1532561106:0;rm -rf .git
: 1532561155:0;git init
: 1532561176:0;git add README.md
: 1532561188:0;touch .gitignore
: 1532561376:0;git add .
: 1532561404:0;git commit -m "rest api and redux working"
: 1532561423:0;git remote add origin git@github.com:deanban/fdamern.git\

: 1532561426:0;git push
: 1532561507:0;cd Desktop/fdamern
: 1532561509:0;code .
: 1532568939:0;cd Desktop/fdamern
: 1532568942:0;code .
: 1532568970:0;cd app
: 1532568976:0;yarn start
: 1532569011:0;yarn add react-map-gl
: 1532569854:0;yarn add redux-map-gl
: 1532573131:0;git add .
: 1532573210:0;git commit -m "react & redux-mapbox-gl + mapgl added to the store'
: 1532573214:0;git commit -m "react & redux-mapbox-gl + mapgl added to the store"
: 1532573218:0;git push
: 1532573244:0;git stash
: 1532573251:0;git push
: 1532573254:0;git pull
: 1532573262:0;git pull origin master
: 1532573337:0;git add .
: 1532573342:0;git push
: 1532625671:0;cd Desktop/fdamern
: 1532625675:0;code .
: 1532625720:0;cd app
: 1532625736:0;node server
: 1532625834:0;yarn start
: 1532625927:0;yarn add cors
: 1532626025:0;node server
: 1532626033:0;yarn start
: 1532626182:0;node server
: 1532626185:0;yarn start
: 1532626441:0;git add .
: 1532626467:0;git commit -m "redux fetch from api"
: 1532626471:0;git push
: 1532626990:0;node server
: 1532626994:0;yarn start
: 1532627441:0;node server
: 1532628110:0;yarn start
: 1532628217:0;node server
: 1532628331:0;git add .
: 1532628358:0;git commit -m "fixed typeerror model constructor bug"
: 1532628362:0;git push
: 1532628373:0;cd ..
: 1532628378:0;cd app
: 1532972667:0;cd Desktop/fdamern
: 1532972671:0;code .
: 1532973295:0;node server
: 1532973324:0;cd app
: 1532973348:0;yarn start
: 1532979391:0;git add .
: 1532979418:0;git commit -m 'map working'
: 1532979423:0;git push
: 1532979455:0;node server
: 1532979459:0;yarn start
: 1532981686:0;cd Desktop/fdamern
: 1532981690:0;code .
: 1532981776:0;node server
: 1532981815:0;yarn start
: 1532981831:0;cd app
: 1532981834:0;yarn start
: 1532982004:0;cd Desktop/fdamern
: 1532982009:0;code .
: 1532982066:0;yarn start
: 1532982094:0;cd app
: 1532982098:0;yarn start
: 1532982512:0;cd Development
: 1532982514:0;ls
: 1532987530:0;cd ..
: 1532987536:0;cd Desktop/fdamern
: 1532987539:0;code .
: 1532987576:0;git add .
: 1532987588:0;git commit -m "search"
: 1532987596:0;git push
: 1532999858:0;yarn start
: 1533002166:0;cd app
: 1533002170:0;yarn start
: 1533005801:0;git add .
: 1533005821:0;git commit -m "css on search"
: 1533005828:0;git push
: 1533005974:0;cd ..
: 1533005978:0;cd app
: 1533046029:0;cd Desktop/fdamern
: 1533046033:0;code .
: 1533046777:0;yarn start
: 1533046784:0;cd app
: 1533046787:0;yarn start
: 1533051209:0;cd app
: 1533051222:0;yarn start
: 1533055654:0;git add .
: 1533055670:0;git commit -m "filter"
: 1533055676:0;git push
: 1533059665:0;cd desk
: 1533059672:0;cd Desktop/fdamern
: 1533059674:0;code .
: 1533059694:0;node server.js
: 1533059714:0;yarn start
: 1533059855:0;cd app
: 1533059859:0;yarn start
: 1533060035:0;yarn add lodash
: 1533060046:0;yarn start
: 1533076930:0;git add .
: 1533076948:0;git commit -m "filter working. needs improvement"
: 1533076957:0;git push
: 1533077124:0;yarn start
: 1533079506:0;git add .
: 1533079527:0;git commit -m "some table css."
: 1533079531:0;git push
: 1533138231:0;cd Desktop/fdamern
: 1533138239:0;code .
: 1533138260:0;yarn start
: 1533138470:0;cd app
: 1533138473:0;yarn start
: 1533139105:0;code .
: 1533139708:0;yarn start
: 1533139765:0;cd app
: 1533139768:0;yarn start
: 1533143316:0;git add .
: 1533143332:0;git commit -m "filter and sort working"
: 1533143336:0;git push
: 1533144395:0;yarnstart
: 1533144397:0;yarn start
: 1533317517:0;cd Desktop/fdamern
: 1533317519:0;code .
: 1533317812:0;yarn start
: 1533317820:0;cd app
: 1533317823:0;yarn start
: 1533325255:0;yarn add react-geocode
: 1533325303:0;yarn start
: 1533328279:0;yarn add node-geocoder
: 1533328306:0;yarn start
: 1533329101:0;node db.seedgeocode.js
: 1533329120:0;node db/seedgeocode.js
: 1533335692:0;node db/seed.js
: 1533335750:0;node db/seedgeocode.js
: 1533342832:0;yarn start
: 1533343722:0;node db/seedplaces.js
: 1533343927:0;yarn start
: 1533343936:0;node db/seedplaces.js
: 1533570132:0;cd Desktop
: 1533570136:0;cd fdamern
: 1533570139:0;code.
: 1533570142:0;code .
: 1533570159:0;yarn start
: 1533570168:0;cd app
: 1533570170:0;yarn start
: 1533572991:0;cd app
: 1533573072:0;yarn add deck.gl
: 1533581194:0;git add .
: 1533581253:0;git commit -m "deckgl working with dummy data. needs improvement."
: 1533581260:0;git push
: 1533581270:0;git pull 
: 1533581299:0;git pull origin master
: 1533581360:0;git push
: 1533581854:0;git add .
: 1533581929:0;git commit -m "arcs added with view pitch"
: 1533581939:0;git push
: 1533596435:0;yarn start
: 1533598041:0;cd Desktop
: 1533598045:0;git clone git@github.com:uber-common/vis-academy.git
: 1533598061:0;cd vis-academy
: 1533598065:0;code .
: 1533598134:0;cd src/demos
: 1533598156:0;cd ..
: 1533598191:0;yarn install
: 1533598397:0;yarn start
: 1533598469:0;cd src/demos/custom-layers
: 1533598500:0;yarn install
: 1533598514:0;cd 1-combination-layer
: 1533598519:0;yarn install
: 1533598543:0;yarn start
: 1533599011:0;cd src/demos/custom-layers/2-adaptor-layer
: 1533599028:0;yarn install
: 1533599046:0;yarn start
: 1533923213:0;cd Desktop/fdamern
: 1533923215:0;code .
: 1533923640:0;cd ..
: 1533923644:0;cd vis-academy
: 1533923647:0;code .
: 1533924095:0;node server.js
: 1533924101:0;cd app
: 1533924106:0;yarn start
: 1533927966:0;ls
: 1533927990:0;cd src/demos/custom-layers/1-combination-layer
: 1533927993:0;yarn start
: 1533930244:0;git add .
: 1533930263:0;git commit -m "composite layers added."
: 1533930269:0;git push
: 1533930299:0;git add .
: 1533930319:0;git commit -m "new api added"
: 1533930329:0;git push
: 1533930340:0;cd app
